url,date,publication
https://www.forbes.com/sites/bobcarlson/2025/12/18/beware-the-interplay-of-social-security-and-medicare/,2025-12-18 19:49:22+00:00,forbes
https://www.forbes.com/sites/rogersands/2025/12/18/hospitality-entrepreneur-lynn-easton-blends-logistics-and-artistry/,2025-12-18 19:48:10+00:00,forbes
https://www.forbes.com/sites/danschlossberg/2025/12/18/japanese-babe-ruth-faces-monday-deadline-to-sign-deal/,2025-12-18 19:45:40+00:00,forbes
https://www.forbes.com/councils/forbesbusinesscouncil/2025/12/18/a-business-leaders-guide-to-finding-the-right-bridge-financing-provider/,2025-12-18 19:45:00+00:00,forbes
https://www.nytimes.com/2025/12/18/opinion/the-conversation-trump-presidency-anxiety.html,2025-12-18 19:44:55+00:00,nytimes
https://www.forbes.com/sites/tedreed/2025/12/18/all-she-wants-for-christmas-is-a-contract-with-american-airlines-partner/,2025-12-18 19:44:10+00:00,forbes
https://www.wsj.com/politics/policy/marijuana-drug-reclassify-trump-administration-db8eb9b4,2025-12-18 19:44:00+00:00,wsj
https://www.bloomberg.com/news/articles/2025-12-18/lutnick-s-data-center-ties-face-democratic-lawmaker-scrutiny,2025-12-18 19:42:55.250000+00:00,bloomberg
https://www.nytimes.com/athletic/6899526/2025/12/18/jacques-martin-ottawa-senators-ring-honour/,2025-12-18 19:42:42+00:00,nytimes
https://www.nytimes.com/live/2025/12/18/us/trump-news,2025-12-18 19:42:15+00:00,nytimes
https://www.wsj.com/world/middle-east/trumps-gaza-peace-plan-stumbles-over-hamas-disarmament-d4975bb1,2025-12-18 19:42:00+00:00,wsj
https://www.nytimes.com/interactive/2025/12/16/magazine/dwayne-wiggins-music.html,2025-12-18 19:39:05+00:00,nytimes
https://www.nytimes.com/interactive/2025/12/16/magazine/michelle-trachtenberg-actor.html,2025-12-18 19:39:05+00:00,nytimes
https://www.nytimes.com/interactive/2025/12/16/magazine/angie-stone-music.html,2025-12-18 19:39:05+00:00,nytimes
https://www.nytimes.com/interactive/2025/12/16/magazine/assata-shakur-activist.html,2025-12-18 19:39:05+00:00,nytimes
